127.0.0.1 - - [21/Aug/2020:15:16:59 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:18 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /ejms/index.jsp HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /css/style.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /script/login.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/img.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_r_01.gif HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_r_02.gif HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /client/images/logo.gif HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_title.gif HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/id.gif HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_btn.gif HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/pw.gif HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_r_03.gif HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /images/login/login_r_04.gif HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:17:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:18:10 +0900] "GET /ejms/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:27:20 +0900] "GET /main.do HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Aug/2020:15:27:38 +0900] "GET /ejms/main.do HTTP/1.1" 200 5612
