127.0.0.1 - - [26/Jun/2020:10:37:12 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/ HTTP/1.1" 200 4660
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/css/import.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/css/common.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/css/skin01.css HTTP/1.1" 200 19639
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/images/popup_title.gif HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/images/btn_type0_head.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/js/common.js HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/images/btn_type0_end.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/js/calendar.js HTTP/1.1" 200 21722
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/css/comm/base.css HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/css/comm/page_style.css HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/images/btn_type0_bg.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /gift/images/common/popup_title_bg.gif HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "POST /gift/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/daejang/giftAcceptList.do HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/css/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/css/skin01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/js/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type0_head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type0_end.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/popup_title.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type1_head.gif HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type1_end.gif HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/css/comm/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/css/comm/page_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "POST /gift/daejang/selectgiftAcceptList.do HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/common/popup_title_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type0_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/common/list_bar.gif HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:40 +0900] "GET /gift/images/btn_type1_bg.gif HTTP/1.1" 200 106
