127.0.0.1 - - [16/Jul/2020:15:13:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:13:59 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:00 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:00 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:00 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:00 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:00 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Jul/2020:15:14:01 +0900] "GET /bims/ HTTP/1.1" 404 1004
