127.0.0.1 - - [28/Aug/2020:08:38:55 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:15 +0900] "POST /bims/daejang/api/mSaupList.do HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/mbody.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/ HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/import.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/bims.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/js/jquery.min.js HTTP/1.1" 200 95821
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/common.css HTTP/1.1" 200 11072
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/skin01.css HTTP/1.1" 200 19732
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/jquery-ui.css HTTP/1.1" 200 35997
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/images/popup_title.gif HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/images/btn_type0_head.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/images/btn_type0_end.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/js/common.js HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/js/jquery.form.js HTTP/1.1" 200 41543
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/comm/base.css HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:36 +0900] "GET /bims/css/comm/page_style.css HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:37 +0900] "GET /bims/images/btn_type0_bg.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:37 +0900] "GET /bims/images/common/popup_title_bg.gif HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "POST /bims/common/login.do HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/skin01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/bims.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/popup_title.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/title_ico.gif HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/btn_type0_head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/btn_type0_end.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/comm/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/css/comm/page_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/btn_type0_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:52 +0900] "GET /bims/images/common/popup_title_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "POST /bims/common/login.do HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/css/skin01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/css/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/css/bims.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/images/popup_title.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/images/title_ico.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/images/btn_type0_head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2020:08:46:55 +0900] "GET /bims/images/btn_type0_end.gif HTTP/1.1" 304 -
