127.0.0.1 - - [12/May/2020:11:08:11 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/ HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/sds.css HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/jquery-ui.css HTTP/1.1" 200 35997
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/import.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/skin01.css HTTP/1.1" 200 19500
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/common.css HTTP/1.1" 200 10789
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/js/common.js HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/js/jquery.min.js HTTP/1.1" 200 95821
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/js/jquery.form.js HTTP/1.1" 200 41543
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/images/popup_title.gif HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/images/btn_type0_head.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/images/btn_type0_end.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/comm/base.css HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/css/comm/page_style.css HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/images/btn_type0_bg.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:12 +0900] "GET /sds/images/common/popup_title_bg.gif HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "POST /sds/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/diagnose/selfDgnsMastList.do HTTP/1.1" 200 13728
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/skin01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/import.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/sds.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/images/popup_title.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/images/btn_type0_head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/images/btn_type0_end.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/comm/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/css/comm/page_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "POST /sds/diagnose/selectSelfDgnsMastList.do HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/images/common/popup_title_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:11:08:25 +0900] "GET /sds/images/btn_type0_bg.gif HTTP/1.1" 304 -
