127.0.0.1 - - [25/Aug/2020:07:39:44 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/bootstrap-4.1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/animsition/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/bootstrap-progressbar/bootstrap-progressbar-3.3.4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/wow/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/animsition/animsition.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:07:40:49 +0900] "GET /corona/bootstrap/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 304 -
